number ; verb/word ; additionalInfo ; url
20;0.0709617639042;CNC-FRÄSER (m/w), ONE JOBS GmbH, Erlangen, Full Time;https://www.jopago.com/jobs/4821596-cnc-fraser-m-w-bei-one-jobs-gmbh
21;0.0474157122187;Innenarchitekt (m/w) kreativ/funktional, Cobalt Recruitment, Hamburg, Full Time;https://www.jopago.com/jobs/4794878-innenarchitekt-m-w-kreativ-funktional-bei-cobalt-recruitment
22;0.0877664879779;MASCHINENEINSTELLER (m/w), ONE JOBS GmbH, Nürnberg, Full Time;https://www.jopago.com/jobs/4789324-maschineneinsteller-m-w-bei-one-jobs-gmbh
23;0.0479817022339;Mitarbeiter Anwendungstechnik Geschäftsbereich Composites m/w, KREMPEL GmbH, Vaihingen/Enz, Full Time;https://www.jopago.com/jobs/4783533-mitarbeiter-anwendungstechnik-geschaftsbereich-composites-m-w-bei-krempel-gmbh
24;0.00902248289345;Mitarbeiter Backstraße m/w, Fallstein-Gruppe, Oschersleben, Full Time;https://www.jopago.com/jobs/4783525-mitarbeiter-backstrasse-m-w-bei-fallstein-gruppe
25;0.0598369632692;Heilerziehungspfleger (m/w) in Zwenkau, Extra-Personalservice GmbH, Zwenkau, Full Time;https://www.jopago.com/jobs/4783573-heilerziehungspfleger-m-w-in-zwenkau-bei-extra-personalservice-gmbh
26;0.0790833395048;KFZ-Mechanikermeister, Wollny Personal GmbH, Hannover, Full Time;https://www.jopago.com/jobs/4783578-kfz-mechanikermeister-bei-wollny-personal-gmbh
27;0.0755464814657;Berater (m/w) Office Vermietung, Cobalt Recruitment, Nordrhein-Westfalen, Full Time;https://www.jopago.com/jobs/4792108-berater-m-w-office-vermietung-bei-cobalt-recruitment
28;0.0337361194504;Schlosser/in, avanti GmbH NL Köln, Köln, Full Time;https://www.jopago.com/jobs/4793010-schlosser-in-bei-avanti-gmbh-nl-koln
29;0.0249925428938;Schlosser/in, avanti GmbH NL Köln, Radevormwald, Full Time;https://www.jopago.com/jobs/4793009-schlosser-in-bei-avanti-gmbh-nl-koln
30;0.0516339351705;Job / Nebenjob als mobiler Polsterreiniger (m/w) deutschlandweit, Polsterando GmbH, Stuttgart, Full Time;https://www.jopago.com/jobs/4802857-job-nebenjob-als-mobiler-polsterreiniger-m-w-deutschlandweit-bei-polsterando-gmbh
31;0.043382121151;Wertstoffprüfer/in, avanti GmbH NL Köln, Leverkusen, Full Time;https://www.jopago.com/jobs/4802869-wertstoffprufer-in-bei-avanti-gmbh-nl-koln
32;0.0344888670373;Bauleiter (m/w) Tief- und Straßenbau, Cobalt Recruitment, Baden-Württemberg, Full Time;https://www.jopago.com/jobs/4822824-bauleiter-m-w-tief-und-strassenbau-bei-cobalt-recruitment
33;0.0304497891454;Löter (m/w) - SMD -Bestücker (m/w), Extra-Personalservice GmbH, Hamburg, Full Time;https://www.jopago.com/jobs/4824012-loter-m-w-smd-bestucker-m-w-bei-extra-personalservice-gmbh
34;0.0236549942432;(Senior) Facility Manager (m/w) in Hamburg, Cobalt Recruitment, Hamburg, Full Time;https://www.jopago.com/jobs/4827936-senior-facility-manager-m-w-in-hamburg-bei-cobalt-recruitment
